Country,Rank-2015,Happiness-Score-2015,GDP-2015,Social-Support-2015,Healthy-Life-Expectancy-2015,Freedom-2015,Trust-2015,Generosity-2015,Dystopia-2015,Region,Rank-2016,Happiness-Score-2016,GDP-2016,Social-Support-2016,Healthy-Life-Expectancy-2016,Freedom-2016,Trust-2016,Generosity-2016,Dystopia-2016,Rank-2017,Happiness-Score-2017,GDP-2017,Social-Support-2017,Healthy-Life-Expectancy-2017,Freedom-2017,Generosity-2017,Trust-2017,Dystopia-2017,Rank-2018,Happiness-Score-2018,GDP-2018,Social-Support-2018,Healthy-Life-Expectancy-2018,Freedom-2018,Generosity-2018,Trust-2018,Dystopia-2018,Rank-2019,Happiness-Score-2019,GDP-2019,Social-Support-2019,Healthy-Life-Expectancy-2019,Freedom-2019,Generosity-2019,Trust-2019,Dystopia-2019,Rank-2020,Happiness-Score-2020,GDP-2020,Social-Support-2020,Healthy-Life-Expectancy-2020,Freedom-2020,Generosity-2020,Trust-2020,Dystopia-2020,Rank-2021,Happiness-Score-2021,GDP-2021,Social-Support-2021,Healthy-Life-Expectancy-2021,Freedom-2021,Generosity-2021,Trust-2021,Dystopia-2021,Rank-2022,Happiness-Score-2022,Dystopia-2022,GDP-2022,Social-Support-2022,Healthy-Life-Expectancy-2022,Freedom-2022,Generosity-2022,Trust-2022
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,"5,173","1,098","1,458","1,093",560,601,23,341
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,"5,164","2,531",785,621,369,367,388,103
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,"5,122","2,844",636,670,309,405,178,80
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,"5,075","2,658",950,405,355,431,130,146
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,"5,003","2,667",570,560,326,571,165,145
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,"4,609","2,304",899,476,424,185,195,125
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,"4,483","1,368","1,148",957,521,336,73,79
Eswatini Kingdom of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,"4,396","1,688","1,274",786,197,259,38,154
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,"4,339","2,148",670,645,378,202,143,154
Philippines,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,72,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,1.97260475158691,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2.056,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2.092,52,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,61,5.88,0.853,0.828,0.426,0.651,0.125,0.126,2.872,60,"5,904","2,283","1,268",912,514,678,107,142
Somaliland region,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,Middle East and Northern Africa,90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,84,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2.45618939399719,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2.449,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2.313,97,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,106,4.918,0.792,0.219,0.558,0.477,0.034,0.088,2.749,100,"5,060","2,405","1,208",268,565,492,20,102
Macedonia,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,Central and Eastern Europe,95,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,92,5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,1.6174693107605,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052,1.677,,,,,,,,,,90,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,1.617594957,,,,,,,,,,,,,,,,,,
Mozambique,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,,,,,,,,,,,113,4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2.35565090179443,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2.249,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2.057,120,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202,115,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2.783,101,"5,048","2,641",578,660,191,593,185,200
Albania,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,1.49044156074524,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,1.463,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,1.462,105,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,93,5.117,1.008,0.529,0.646,0.491,0.168,0.024,2.25,90,"5,199","1,718","1,439",646,719,511,138,28
Bosnia and Herzegovina,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,Central and Eastern Europe,87,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,90,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0,1.89217257499695,93,5.129,0.915,1.078,0.758,0.28,0.216,0.000,1.882,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,1.903,69,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,64,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2.583,67,"5,768","1,869","1,468","1,068",665,448,244,6
Lesotho,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,,,,,,,,,,,139,3.80800008773804,0.521021246910095,1.19009518623352,0,0.390661299228668,0.157497271895409,0.119094640016556,1.42983531951904,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112,1.391,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,1.417,143,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964,145,3.512,0.451,0.731,0.007,0.405,0.103,0.015,1.8,,,,,,,,,
Dominican Republic,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,Latin America and Caribbean,89,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,86,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.31946516036987,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,1.461,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.519,68,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,73,5.545,1.106,0.879,0.555,0.581,0.101,0.144,2.178,69,"5,737","1,751","1,538","1,003",577,606,84,179
Laos,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,Southeastern Asia,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,,,,,,,,,,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,1.398,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,1.474,104,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639,100,5.03,0.808,0.598,0.33,0.643,0.268,0.179,2.204,95,"5,140","1,709","1,239",654,479,679,197,184
